material_id,composition,target
0,Ag0.002Al0.998,1.128
1,Ag0.005Zn0.995,0.763
2,Ag0.035Cd0.01Sn0.955,3.65
3,Ag0.03Tl0.97,2.67
4,Ag0.05Rh0.04Ti0.91,1.95
5,Ag0.12In0.88,4.69
6,Ag0.15Bi0.85,5.3
7,Ag0.15Pb0.975Sn0.01,7.25
8,Ag0.167Al0.833,0.88
9,Ag0.1In0.9Te1,1.2
10,Ag0.1Tl0.9,3.57
11,Ag0.25Cu0.75Ba2Ca3Cu4O11,117.1
12,Ag0.2In0.8Te1,0.77
13,Ag0.438Hg0.562,0.64
14,Ag0.45Ge0.55,1.5
15,Ag0.625Al0.375,0.106
16,Ag0.65Al0.35,0.1
17,Ag0.667Al0.333,0.126
18,Ag0.6Al0.4,0.088
19,Ag0.76Sn1.24Se2,6.72
20,Ag0.775Sn0.225,0.09
21,Ag0.795Sn0.205,0.09
22,Ag0.7Al0.3,0.11
23,Ag0.7Mo3Se4,5.96
24,Ag0.7Mo4Se5,5.96
25,Ag0.7Zn0.3,0.0125
26,Ag0.815Sn0.185,0.06
27,Ag0.81In0.19,0.0074
28,Ag0.81Sn1.19Se2,6.415
29,Ag0.825Sn0.175,0.055
30,Ag0.828Ga0.172,0.116
31,Ag0.82Sn0.18,0.066
32,Ag0.835Sn0.165,0.047
33,Ag0.845Sb0.155,0.037
34,Ag0.845Sn0.155,0.025
35,Ag0.85Sn1.15Se2,6.175000000000001
36,Ag0.865Sb0.135,0.028
37,Ag0.875Ga0.125,0.019
38,Ag0.885Sb0.115,0.019
39,Ag0.8Ga0.2,6.5
40,Ag0.92Sn1.08Se2,5.57
41,Ag0.94Tl0.06,2.32
42,Ag0.95Sn1.05Se2,5.245
43,Ag0.9Ga0.1,0.0065
44,Ag0.9Sn1.1Se1.8S0.2,6.79
45,Ag1.2Mo4.8S6,8.9
46,Ag1B2,6.7
47,Ag1Ba2Ca2Cu3O9,110.0
48,Ag1Ba2Ca3Cu4O11,117.0
49,Ag1Ba2Ca4Cu5O13,105.0
50,Ag1Ba2Ca5Cu6O15,80.0
51,Ag1Bi1,2.78
52,Ag1Bi2,3.0
53,Ag1In2,2.3499999999999996
54,Ag1La1,1.0733333333333333
55,Ag1Mo4S5,7.923333333333333
56,Ag1Mo6S8,7.7
57,Ag1Nb3,8.28
58,Ag1Sn1Se1.8S0.2,5.79
59,Ag1Sn1Se2,4.655
60,Ag1Te3,2.6
61,Ag1Tl1,2.67
62,Ag2F1,0.066
63,Ag2I1,0.066
64,Ag2In1,2.11
65,Ag2Pb3S1,1.13
66,Ag2Pd3S1,1.13
67,Ag3.3Al1,0.34
68,Ag4Ge1,0.85
69,Ag5Pb2O6,0.0502
70,Ag7B4F4O8,0.15
71,Ag7F0.25N0.75O10.25,1.04
72,Ag7F1O8,0.3
73,Ag7F2H1O8,1.5
74,Ag7F4O8B1,0.15
75,Ag7H1F2O8,1.38
76,Ag7N0.75O10.25F0.25,0.85
77,Ag7N1O11,1.0325
78,Al0.005V0.995,4.82
79,Al0.01Au0.92In0.07,0.0278
80,Al0.01Nb0.97O0.02,8.3
81,Al0.01V0.99,4.49
82,Al0.029Ti0.971,0.65
83,Al0.02Au0.92Ga0.06,0.158
84,Al0.02Au0.92In0.06,0.034
85,Al0.02V0.98,4.05
86,Al0.03Au0.92In0.05,0.045
87,Al0.03Ti0.81V0.16,5.1
88,Al0.046In0.151Sn0.803,4.38
89,Al0.04Au0.92Ga0.04,0.101
90,Al0.04Au0.92In0.04,0.0555
91,Al0.04Nb0.895O0.06,7.1
92,Al0.04V0.96,3.31
93,Al0.053Ti0.947,0.7
94,Al0.0563Au0.92In0.0237,0.0609
95,Al0.05Au0.92In0.03,0.0672
96,Al0.05Au0.95,0.0138
97,Al0.05Nb3Sn0.95,18.0
98,Al0.06Au0.92Ga0.02,0.09
99,Al0.06Au0.92In0.02,0.0619
100,Al0.06V0.94,2.83
101,Al0.07Au0.92In0.01,0.0763
102,Al0.08Au0.92,0.088
103,Al0.08V0.92,2.36
104,Al0.102Ti0.898,0.73
105,Al0.108V0.892,1.82
106,Al0.12V0.88,1.73
107,Al0.131Cr0.088V0.781,1.46
108,Al0.14Au0.86,0.385
109,Al0.152Sn0.848,3.6835
110,Al0.175Nb0.775Zr0.05,10.0
111,Al0.18La0.82,4.65
112,Al0.1Be0.9,7.2
113,Al0.1Fe0.9Se0.85,8.5
114,Al0.1Ga0.9V3,13.9
115,Al0.1Si0.9V3,16.1
116,Al0.1V0.9,1.96
117,Al0.215Nb0.785,17.97
118,Al0.22La0.78,4.3
119,Al0.22Nb0.75Si0.3,19.2
120,Al0.23Nb0.75Zr0.013,18.3
121,Al0.245Nb0.725,18.4
122,Al0.24Nb0.76,11.649999999999999
123,Al0.25Fe0.75Se0.85,8.5
124,Al0.25La0.75,3.98
125,Al0.25Nb0.75,14.233333333333334
126,Al0.25V0.75,16.9
127,Al0.27La0.73,3.82
128,Al0.28Mg0.18,1.63
129,Al0.2B5Mo1.8,5.7
130,Al0.2La0.8,4.43
131,Al0.2Si0.8V3,15.7
132,Al0.32La0.68,3.23
133,Al0.33Ge0.67,1.75
134,Al0.33Nb0.67,13.5
135,Al0.39Mg0.61,1.5
136,Al0.3Be0.7,6.5
137,Al0.3Ga0.7V3,13.9
138,Al0.5Ga0.5Nb3,19.0
139,Al0.5Ga0.5V3,12.9
140,Al0.5Ge0.5Nb1,12.6
141,Al0.5Mo5S6Sn1,14.2
142,Al0.5Nb3Sn0.5,15.8
143,Al0.61Mg0.39,0.85
144,Al0.66Ge0.22Nb3.1,20.29
145,Al0.6Mg0.4,1.7
146,Al0.72Nb3.28,6.2
147,Al0.75Ge0.25Nb0.003,20.7
148,Al0.75Ge0.25Nb3,20.2
149,Al0.75Ge0.25Nb3.8,20.34
150,Al0.77Ge0.23Nb3,20.75
151,Al0.8Ge0.2Nb3,20.375
152,Al0.95B0.05Nb3,19.1
153,Al0.95Be0.05Nb3,19.6
154,Al0.95Li0.05,1.13
155,Al0.95Nb3Sb0.5,17.81
156,Al0.964Ge0.036,2.74
157,Al0.97Li0.03,1.05
158,Al0.992Zn0.008,1.132
159,Al0.997Er0.003,1.658
160,Al0.998Mn0.002,0.262
161,Al0.999Fe0.001,1.5
162,Al0.999Mn0.001,0.596
163,Al0.99Li0.01,1.07
164,Al0.9As0.05Ga0.05Nb3,19.2
165,Al0.9Ga0.1Nb3,17.7
166,Al0.9Ge0.1,6.45
167,Al0.9Ge0.1Nb3,18.9
168,Al0.9Li0.1,1.29
169,Al0.9Nb3Sb0.1,18.06
170,Al1,1.2540333333333333
