material_id,composition,target_pred_n0,target_target
126,Al0.25V0.75,9.809656143188477,16.9
5981,In3Mo15Se19,3.2450180053710938,3.32
3671,Cu0.14Bi2Te3,2.6165027618408203,6.0
2388,Bi2Sr2Ca1Cu2Zn0.067C2.144H1.072N0.536O,39.58021926879883,45.3
14032,Y1Ba1.76La0.24Cu3O7.024,64.08592224121094,73.4
14084,Y1Ba1.8La0.2Cu3O7.013,63.260162353515625,80.5
9852,Nd1.2Ba1.8Cu3O6.91,72.40505981445312,47.6
7987,Li0.8Fe1.2Se1H1O1,38.03567886352539,40.45
3120,Ca5Sc2Ti2Fe2As2O,34.243587493896484,36.35
8089,Lu0.5Ho0.5Rh4B4,4.91901969909668,8.43
4014,Er0.75Yb0.25Ba2Cu3O7,89.47621154785156,87.6
10106,Nd1Fe1P1F0.1O0.9,8.485246658325195,2.9
6492,La0.96Nd0.04Pt1Si1,1.17657470703125,3.04
9918,Nd1.84Ce0.16Cu1O4,17.578611373901367,22.175
6435,La0.8Rh4P12,7.094871520996094,14.9
8418,Mg1.2C1.52B0.08Ni3,5.552305221557617,6.9
9107,Nb0.66Zr0.33,9.360322952270508,10.8
3393,Ce1Ir0.987Pt0.013In5,2.2541275024414062,0.897
7340,La1.95Bi0.05Cu0.99Zn0.01O4.0628,19.74126434326172,24.2
7213,La1.898Ba0.102Cu1O4,23.11176300048828,29.0
1908,Bi2Se3,3.3310623168945312,6.1225
8139,Lu0.93Pr0.07Ba2Cu3O7,89.28060150146484,81.5
1359,Bi1.5Pb0.5Sr1.6La0.4Cu1O6.044,21.359708786010742,28.1
10388,Pb0.65Sr2Y0.7Ca0.3Cu2.35O,39.1573486328125,20.0
5191,Hf1Ru1As1,2.6912784576416016,4.79
235,As0.15In0.15Nb3Sn0.7,16.038440704345703,17.99
6497,La0.97Nd0.03Pt1Si1,1.1987571716308594,3.27
1337,Bi1.55Pb0.45Sr2Ho0.2Ca0.8Cu2O8,103.92805480957031,94.0
3833,Cu3Mo6S8,8.527408599853516,5.5
13014,Tm4Rh6Sn19,2.388153076171875,2.3
6115,Ir0.8Rh0.2,0.2665252685546875,0.03
7082,La1.85Sr0.15Cu0.989Zn0.011O4,19.022857666015625,23.2
12664,Tl1Ba0.8Sr1.2Ca2Cu3O9,116.45970153808594,102.666664
2356,Bi2Sr2Ca1Cu2O8.212,87.48334503173828,73.0
13987,Y1Ba1.5La0.5Cu3O7.06,34.39700698852539,22.0
14380,Y1Ba2Cu2.85Ga0.126Zn0.024O7,68.05793762207031,66.3
6675,La1.5Ba1Ca0.5Cu3O7.126,51.035552978515625,67.0
7270,La1.8Sr0.2Cu0.98Zn0.02O4,11.96990966796875,19.066668
2181,Bi2Sr2Ca0.85Y0.15Cu1.96Zn0.04O8,75.52128601074219,71.6
12324,Tc0.8V0.2,8.803791046142578,11.24
10064,Nd1Bi1S2F0.9O0.62,4.311988830566406,5.44
2000,Bi2Sr1.8Ca1.2Cu2O,94.6214599609375,77.5
1180,Bi0.06Sn0.94,4.412162780761719,4.1
6282,K1Bi1O3,9.056035995483398,9.6
1599,Bi1.8Pb0.2Sr2Ca1Cu1.96Fe0.04O8,52.966041564941406,48.5
543,Ba0.49K0.51Fe1.79Co0.21As2,16.46785545349121,15.0
454,B2Mg0.8,32.85401153564453,38.0
15141,Y1Sr1Ba1Cu2.75B0.25O,44.028465270996094,35.0
15230,Y2Ba4Cu7O15.03,81.31200408935547,87.0
10356,Pb0.5Sr1Ba1Y0.75Ca0.25Cu2.5O,54.841888427734375,61.5
13696,Y0.8Pr0.2Ba2Cu3.975Fe0.025O8,33.15862274169922,46.0
4591,Fe30Zr70,2.273548126220703,0.5
6709,La1.65Nd0.2Ca1.15Cu2O5.99,11.386995315551758,5.0
6727,La1.6Gd0.4Ca0.8Ba2Cu4.8O10,82.87472534179688,77.0
14106,Y1Ba1.95Cs0.05Cu3O,90.06616973876953,84.5
9887,Nd1.55La0.3Ce0.15Cu1O4,19.057369232177734,23.35
4452,Fe1.02Te0.5Se0.1S0.4,10.982940673828125,8.45
2083,Bi2Sr2Ca0.5Y0.5Cu1.98Zn0.02O8,41.800071716308594,16.4
13884,Y0.9K0.1Ba2Cu3O6.51,93.93814086914062,92.05
7508,La1Fe0.98Co0.02As1F0.11O0.89,26.612180709838867,10.3
1373,Bi1.66Pb0.34Sr1.52La0.4Cu1.1O6,17.1155948638916,21.0
10133,Nd2Cu1F0.4O3.6,23.356163024902344,18.5
13148,V3Ge0.8Al0.2,9.877889633178711,11.02
9160,Nb0.75Si0.25,8.535106658935547,9.0
72,Ag7F1O8,-1.4850578308105469,0.3
1130,Be17Nb2,5.085760116577148,1.47
9803,Nd0.9Ba1.7Sr0.4Cu3O6.666,78.37492370605469,82.0
4104,Er1Ba2Cu2.88Zn0.12O6.92,39.9781608581543,52.0
12572,Tl0.79Bi0.25Sr1.6Ba0.4Ca2Cu3O,121.36372375488281,115.0
2969,Ca1Al1.25Si0.75,4.186405181884766,4.4
3516,Co1Sr2Y0.7Ca0.3Cu2O7,31.176637649536133,40.0
5807,Ho1.1Ir4B3.6,2.418947219848633,2.12
15193,Y1Sr2Cu2.8W0.2O7.2,49.091590881347656,66.0
12051,Sr1Fe1.84Pt0.16As2,12.082918167114258,16.0
3846,Cu50Sn50,2.8552494049072266,3.26
7064,La1.85Sr0.15Cu0.984Zn0.016O4,12.901357650756836,19.0
13744,Y0.92Pr0.08Ba2Cu3O7,82.4626693725586,90.5
9446,Nb3Al0.39Ge0.61,14.18885612487793,7.3
12270,Ta1Se0.8Te1.2,0.6019401550292969,1.165
13110,V2.814Nb0.186Ga1,11.388652801513672,13.5
4707,Ga1V3,13.705516815185547,14.995556
1512,Bi1.7Pb0.3Sr2Ca0.65Y0.35Cu1.94Zn0.06O8,45.81163024902344,62.1
251,As1Ni0.12Pd0.88,1.6760692596435547,1.39
1066,Ba2Sr6Si46,5.256187438964844,4.1
5629,Hg1Ba2Cu1FO4,90.15325927734375,89.8
9184,Nb0.83Sb0.17,3.3079662322998047,1.95
2979,Ca1Ba1Gd1Cu3O7,32.68620300292969,49.0
5021,Ge0.963Te1,2.5524635314941406,0.171
5598,Hg1Ba2Ca4Cu5FO,123.59465026855469,109.0
13605,Y0.8Ca0.2Ba0.75La0.25Cu3O,77.62000274658203,75.1
3617,Cs0.4Sr0.6Fe2As2,34.15811538696289,36.6
3556,Cr0.125Ru0.875,0.48500823974609375,1.2
2647,C14H10Ba1.5,7.126312255859375,5.4
4254,Eu1.35Pr0.15Ce0.5Sr2Cu2Nb1O10,10.997560501098633,18.0
14012,Y1Ba1.6La0.4Cu3O7.06,41.59111022949219,52.0
5071,H0.24Y1Ba2Cu3O,82.89551544189453,82.4
8725,Mo15Se19,3.2892513275146484,4.3
6728,La1.6Nd0.2Ba0.2Cu1O4,16.655284881591797,11.0
1157,Be5Ga1,4.708652496337891,5.8
14019,Y1Ba1.6Sr0.4Cu4O7.9,82.95307922363281,79.0
7728,La1Ru4Sb12,2.408872604370117,3.2933333
9096,Nb0.5W0.5C1,10.492063522338867,12.5
343,Au0.93In0.07,-1.2647476196289062,0.0164
5752,Ho0.01La0.99,3.6409454345703125,5.18
3724,Cu0.75Ag0.25Ba2Ca3Cu4O,124.19508361816406,105.25
7754,La2.25Pr0.75Tl1,1.4348182678222656,1.24
11338,Ru1Sr2Gd0.6Dy0.4Cu2O8,21.720001220703125,50.625
2902,Ca1.7Na0.3Cu1Cl2O2,28.669185638427734,27.6
13985,Y1Ba1.5La0.5Cu3O,41.96644973754883,39.7
7653,La1Pd0.6Ge0.14,3.049999237060547,2.8
1336,Bi1.55Pb0.45Sr2Gd0.2Ca0.8Cu2O8,88.25486755371094,93.0
2386,Bi2Sr2Ca1Cu2Zn0.03C0.96H0.48N0.24O,61.28472900390625,61.6
4441,Fe0.99Cu0.01Se0.88,5.154914855957031,5.64
957,Ba1Ni2Ge0.2P1.8,1.014923095703125,2.59
431,B1Ta0.5W1.5,1.1371116638183594,1.94
14681,Y1Ba2Cu2.9907Zn0.0093O6.95,85.23150634765625,88.0
3563,Cr0.25Mo0.75,0.667694091796875,0.155
10065,Nd1F0.3Bi1S2O0.7,4.648195266723633,4.11
10706,Pd2Y0.25Tm0.75Sn1,1.7852344512939453,3.06
159,Al0.997Er0.003,1.2338943481445312,1.658
10242,Os0.3Re0.7,2.2210216522216797,1.54
302,Au0.2La0.8,3.4296722412109375,3.97
9323,Nb1S1.06,3.8496875762939453,3.3
4354,Eu1Pb1Sr2Ca3Cu4O,35.6685791015625,38.0
10932,Pr1Fe1P1F0.1O0.9,10.088092803955078,2.34
7428,La1Ba1Ca1Cu3O7,70.42552185058594,63.0
2604,C0.75Mo1,8.185962677001953,14.7
2328,Bi2Sr2Ca1Cu2I0.69O8.242,63.293678283691406,53.1
7294,La1.912Ca0.0875Cu1O4,25.57962417602539,16.0
14683,Y1Ba2Cu2.993Zn0.007O7,87.49114227294922,84.0
2889,Ca1.65Na0.35Cu1Br1Cl1O2,17.892593383789062,24.0
12987,Tm1Ir3.6Rh0.4B4,2.4798450469970703,1.48
5559,Hg1Ba2Ca1Cu2O6.21,106.95872497558594,127.0
11557,Sm1.4Pr0.1Ce0.5Sr2Cu2Nb1O10,13.917097091674805,22.8
2475,Bi4Mg1,6.393831253051758,0.85
12824,Tl2.5Pb0.3Pr1Sr2Cu2.5O,29.883453369140625,39.06
4490,Fe1Se0.082Te0.738,7.735849380493164,10.9
8164,Lu1.94Sc0.06Fe3Si5,4.3737640380859375,4.83
14775,Y1Ba2Cu3.96Ni0.04O8,49.26195526123047,56.24286
8051,Li2Mo15Se19,5.574848175048828,2.6
7519,La1Fe0.99Zn0.01As1O0.85,7.9675750732421875,10.04
10312,Pb0.52Tl0.48,5.34290885925293,5.54
3033,Ca1Fe1.922Co0.078As2,19.857315063476562,21.2
1327,Bi1.4Pb0.6Sr2Y1.65Ce0.35Cu2O10,22.414682388305664,23.5
9354,Nb2.5Ta0.5Sn1,16.570632934570312,17.6
7765,La2.4Se4Y0.6,1.2410430908203125,3.92
12047,Sr1Fe1.816Co0.184As2,12.975419998168945,13.4
10249,Os0.7Re0.3,2.0340309143066406,0.8
