material_id,composition,target_pred_n0,target_target
0,Ag0.002Al0.998,1.1268959045410156,1.128
1,Ag0.005Zn0.995,0.19910430908203125,0.763
2,Ag0.035Cd0.01Sn0.955,3.2213592529296875,3.65
3,Ag0.03Tl0.97,3.9752235412597656,2.67
4,Ag0.05Rh0.04Ti0.91,3.5302486419677734,1.95
5,Ag0.12In0.88,2.616901397705078,4.69
6,Ag0.15Bi0.85,4.576536178588867,5.3
7,Ag0.15Pb0.975Sn0.01,4.105033874511719,7.25
8,Ag0.167Al0.833,1.6629314422607422,0.88
9,Ag0.1In0.9Te1,1.80047607421875,1.2
10,Ag0.1Tl0.9,3.2172985076904297,3.57
11,Ag0.25Cu0.75Ba2Ca3Cu4O11,111.65727233886719,117.1
12,Ag0.2In0.8Te1,1.9038524627685547,0.77
13,Ag0.438Hg0.562,2.5086612701416016,0.64
14,Ag0.45Ge0.55,2.028921127319336,1.5
15,Ag0.625Al0.375,0.042903900146484375,0.106
16,Ag0.65Al0.35,0.025646209716796875,0.1
17,Ag0.667Al0.333,0.007709503173828125,0.126
18,Ag0.6Al0.4,0.06541061401367188,0.088
19,Ag0.76Sn1.24Se2,3.105833053588867,6.72
20,Ag0.775Sn0.225,0.32968902587890625,0.09
21,Ag0.795Sn0.205,0.3338508605957031,0.09
22,Ag0.7Al0.3,-0.08248138427734375,0.11
23,Ag0.7Mo3Se4,6.117527008056641,5.96
24,Ag0.7Mo4Se5,6.012332916259766,5.96
25,Ag0.7Zn0.3,-0.7578544616699219,0.0125
26,Ag0.815Sn0.185,0.3524360656738281,0.06
27,Ag0.81In0.19,-0.12533950805664062,0.0074
28,Ag0.81Sn1.19Se2,3.1264381408691406,6.415
29,Ag0.825Sn0.175,0.38468170166015625,0.055
30,Ag0.828Ga0.172,0.9053268432617188,0.116
31,Ag0.82Sn0.18,0.3680992126464844,0.066
32,Ag0.835Sn0.165,0.4215660095214844,0.047
33,Ag0.845Sb0.155,0.043300628662109375,0.037
34,Ag0.845Sn0.155,0.47115325927734375,0.025
35,Ag0.85Sn1.15Se2,3.139913558959961,6.175
36,Ag0.865Sb0.135,0.16742324829101562,0.028
37,Ag0.875Ga0.125,0.07545089721679688,0.019
38,Ag0.885Sb0.115,0.31623077392578125,0.019
39,Ag0.8Ga0.2,1.2119140625,6.5
40,Ag0.92Sn1.08Se2,3.114625930786133,5.57
41,Ag0.94Tl0.06,0.914794921875,2.32
42,Ag0.95Sn1.05Se2,3.097166061401367,5.245
43,Ag0.9Ga0.1,-0.27129364013671875,0.0065
44,Ag0.9Sn1.1Se1.8S0.2,6.044649124145508,6.79
45,Ag1.2Mo4.8S6,8.303768157958984,8.9
46,Ag1B2,4.49061393737793,6.7
47,Ag1Ba2Ca2Cu3O9,107.85589599609375,110.0
48,Ag1Ba2Ca3Cu4O11,105.28363037109375,117.0
49,Ag1Ba2Ca4Cu5O13,101.8282470703125,105.0
50,Ag1Ba2Ca5Cu6O15,98.57350158691406,80.0
51,Ag1Bi1,2.232616424560547,2.78
52,Ag1Bi2,3.988393783569336,3.0
53,Ag1In2,1.8438854217529297,2.35
54,Ag1La1,1.5623435974121094,1.0733334
55,Ag1Mo4S5,8.303768157958984,7.923333
56,Ag1Mo6S8,7.762216567993164,7.7
57,Ag1Nb3,6.205324172973633,8.28
58,Ag1Sn1Se1.8S0.2,6.176069259643555,5.79
59,Ag1Sn1Se2,3.042695999145508,4.655
60,Ag1Te3,2.9601478576660156,2.6
61,Ag1Tl1,2.3180103302001953,2.67
62,Ag2F1,1.611032485961914,0.066
63,Ag2I1,2.0384464263916016,0.066
64,Ag2In1,-0.037387847900390625,2.11
65,Ag2Pb3S1,4.210117340087891,1.13
66,Ag2Pd3S1,3.5749263763427734,1.13
67,Ag3.3Al1,-0.34073638916015625,0.34
68,Ag4Ge1,-0.3754844665527344,0.85
69,Ag5Pb2O6,4.446540832519531,0.0502
70,Ag7B4F4O8,5.236330032348633,0.15
71,Ag7F0.25N0.75O10.25,3.338979721069336,1.04
72,Ag7F1O8,1.5311412811279297,0.3
73,Ag7F2H1O8,3.9301929473876953,1.5
74,Ag7F4O8B1,3.2538833618164062,0.15
75,Ag7H1F2O8,3.9301910400390625,1.38
76,Ag7N0.75O10.25F0.25,3.3389816284179688,0.85
77,Ag7N1O11,1.8635597229003906,1.0325
78,Al0.005V0.995,3.7000808715820312,4.82
79,Al0.01Au0.92In0.07,0.5598487854003906,0.0278
80,Al0.01Nb0.97O0.02,7.494518280029297,8.3
81,Al0.01V0.99,3.796123504638672,4.49
82,Al0.029Ti0.971,1.807851791381836,0.65
83,Al0.02Au0.92Ga0.06,0.23871612548828125,0.158
84,Al0.02Au0.92In0.06,0.19511032104492188,0.034
85,Al0.02V0.98,3.9880619049072266,4.05
86,Al0.03Au0.92In0.05,-0.06663894653320312,0.045
87,Al0.03Ti0.81V0.16,3.4687538146972656,5.1
88,Al0.046In0.151Sn0.803,3.7545833587646484,4.38
89,Al0.04Au0.92Ga0.04,-0.2752227783203125,0.101
90,Al0.04Au0.92In0.04,-0.33710479736328125,0.0555
91,Al0.04Nb0.895O0.06,9.502304077148438,7.1
92,Al0.04V0.96,4.345649719238281,3.31
93,Al0.053Ti0.947,1.8840389251708984,0.7
94,Al0.0563Au0.92In0.0237,-0.8402824401855469,0.0609
95,Al0.05Au0.92In0.03,-0.6578369140625,0.0672
96,Al0.05Au0.95,-1.0185279846191406,0.0138
97,Al0.05Nb3Sn0.95,18.356971740722656,18.0
98,Al0.06Au0.92Ga0.02,-0.9083938598632812,0.09
99,Al0.06Au0.92In0.02,-0.9123115539550781,0.0619
100,Al0.06V0.94,4.682487487792969,2.83
101,Al0.07Au0.92In0.01,-0.9686126708984375,0.0763
102,Al0.08Au0.92,-1.2708320617675781,0.088
103,Al0.08V0.92,4.976570129394531,2.36
104,Al0.102Ti0.898,1.9100818634033203,0.73
105,Al0.108V0.892,5.513843536376953,1.82
106,Al0.12V0.88,5.803876876831055,1.73
107,Al0.131Cr0.088V0.781,5.978363037109375,1.46
108,Al0.14Au0.86,-1.0628738403320312,0.385
109,Al0.152Sn0.848,2.7345027923583984,3.6835
110,Al0.175Nb0.775Zr0.05,14.995452880859375,10.0
111,Al0.18La0.82,4.084024429321289,4.65
112,Al0.1Be0.9,3.1501502990722656,7.2
113,Al0.1Fe0.9Se0.85,7.734645843505859,8.5
114,Al0.1Ga0.9V3,13.763801574707031,13.9
115,Al0.1Si0.9V3,13.528165817260742,16.1
116,Al0.1V0.9,5.328401565551758,1.96
117,Al0.215Nb0.785,14.472719192504883,17.97
