material_id,composition,target
7122,La1.85Sr0.15Cu0.99Ni0.01O,32.1
7852,La2Cu1O4.07,40.4
8219,Lu1Ru2,1.545
13747,Y0.93Pr0.05Ca0.02Ba2Cu3O7,89.4
7006,La1.85Ce0.15Cu0.9Ag0.1O4,22.0
15379,Yb16Ba1Cu2O,76.9
7377,La1.9Sr0.1Cu1Cl0.1O3.9,21.0
2872,Ca0.902Pr0.098Fe2As2,40.0
10193,O0.03V0.97,2.4
8258,Lu4.975Sc0.025Ir4Si10,4.0
15289,Y2Tl2Sr2Cu3O11,45.0
9180,Nb0.7W0.3C1,13.2
7552,La1Fe1As1F0.08O0.9,25.9
13655,Y0.8Ca0.2Ba2Cu3O6.6,72.1
7800,La2.9251Ce0.0749In1,4.42
6345,La0.5Nd0.5Ba2Cu3O,90.0
7558,La1Fe1As1F0.18O0.82,14.3
13910,Y0.9Sc0.1Ba2Cu3O6.56,91.4
6336,La0.5Ce0.5Ru2,0.449
12119,Sr1Pt2As2,5.083333333333333
1264,Bi0.85Sb0.15,6.79
4600,Ga0.05V2Al20,1.53
3454,Ce1Rh2Si2,0.3566666666666667
9628,Nb3Sn2,16.9
10534,Pb1Te1Pb1S1,6.03
14278,Y1Ba2Cu2.6Fe0.4O7,31.0
7604,La1Ir2Ge2,1.5
1003,Ba1Ti2Sb0.4Bi1.6O1,4.52
14367,Y1Ba2Cu2.85Fe0.097Zn0.052O7,59.0
11481,Si23.27V75.15,15.94
11124,Re2Y1,1.83
4462,Fe1.03Te0.5Se0.5,12.9
8189,Lu1Ni1.8Co0.4B2C1,2.6
1496,Bi1.7Cd0.3Sr2Ca1Cu2O,53.0
889,Ba1Fe1.904Co0.096As2,17.1
14197,Y1Ba1Sr1Cu3O6.88,75.6
7917,La3Se4,8.325999999999999
8707,Mo0.9Ru0.1C1,13.7
8620,Mo0.45Tc0.55,14.0
8176,Lu1Ir2Rh2B4,3.08
13312,Y0.5La0.5Ba2Cu3O7.01,86.0
14907,Y1Ba2Cu3O6.69,80.85
14041,Y1Ba1.7La0.3Cu3O7.059,61.4
6668,La1.5Ba1.4Ca0.1Cu3O6.912,13.5
12169,Sr2Nd0.1Ca0.9Cu2F1O5,85.8
2549,Bi8Sr8Ca4Cu9O34.25,73.5
13333,Y0.5Pr0.5Ba2Cu3O6.95,20.45
6249,K0.82Fe1.63Se2,32.0
4994,Ge0.1Si0.9V3,14.4
9975,Nd1Ba1.4Sr0.6Cu3O6.94,75.0
701,Ba0.8K0.2Fe2As2,19.036
223,Al2Pt1,0.515
759,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.76,80.0
5871,I1Bi2Sr1.6La0.4Cu1O,22.1
3488,Co0.038Mo99.962,0.22
8857,N0.92Nb1,16.5
14863,Y1Ba2Cu3O6.19,93.2
13828,Y0.9Ca0.1Ba1.7La0.3Cu3O7.04,82.0
17,Ag0.667Al0.333,0.126
9960,Nd1.85Ce0.15Cu1O4.028,21.1
7803,La2.9451Gd0.0549In1,2.71
14256,Y1Ba2Cu2.55Au0.45O,71.8
11676,Sm1Fe1As0.55P0.45H0.26O0.74,17.0
4078,Er1Ba2Cu2.67Zn0.24Fe0.09O6.94,32.0
5547,Hg1Ba2Ca13Cu14O,105.1
309,Au0.332Te0.668,1.89
8092,Lu0.5Pr0.5Ba2Cu3O6.75,40.1
12372,Ti0.64Nb0.1Ta0.26,7.78
5782,Ho0.85Ca0.15Ba2Cu4O8,87.0
12262,Ta1Ru1Si1,3.15
9721,NbSn3,18.0
6035,Ir0.37Rh0.57Se2,9.09
10560,Pb2Sr2Eu0.85Ca0.15Cu3O8.1,71.0
6516,La0.9973Ce0.0027Rh3B2,0.38
12823,Tl2.5Pb0.2Nd1Sr2Cu2.5O,36.48
13264,Y0.4Cd0.6Ba2Cu3O7,91.7
2577,C0.47Sr2Ca0.35Y0.65Cu2.48O6.96,40.0
3546,Cr0.02V0.98,4.08
6186,Ir2.5Sc1,2.46
2907,Ca1.825Na0.175Cu1Cl2O2,26.0
2236,Bi2Sr2Ca0.95Y0.05Cu2O,82.0
1389,Bi1.6Pb0.4Sr1.6La0.4Cu1O,30.4
13850,Y0.9Ca0.1Ba2Cu3O6.4,41.8
10421,Pb0.6V0.4Sr2Ca0.6Sm0.4Cu2O,20.5
15191,Y1Sr2Cu2.8V0.2O6.5,16.0
3636,Cs2Cr3As3,2.0250000000000004
